campaign_cycle_index,batch_index,carton_index,cell_cycle_duration_sim_s,robot_cycle_duration_sim_s,planned_motion_s,q2_q3_max_error_deg,placement_xy_error_m,placement_z_error_m,placement_yaw_error_deg,tracking_error_max_rad,saturation_global_max_contiguous_s,indexer_direct_state_age_wall_s,status,batch_reset_before_cycle
1,1,1,9.65,9.65,8.488501081555702,0.8052037879415934,0.002605563281985752,0.00424402933714052,0.23314396993307826,0.022683124156827272,0.0,,PASS,False
2,1,2,9.678,9.678,8.400414640357557,0.7262134650025587,0.0015056555694733485,0.004128472866677169,0.181732341751074,0.014159938799367056,0.0,0.007870374999811247,PASS,False
3,1,3,9.934999999999999,9.934999999999999,8.487363775946504,0.6626964332487262,0.004973770662781334,0.005029806215012034,0.4745364274500922,0.03593640459216774,0.0,,PASS,False
4,1,4,10.091000000000001,9.664000000000001,8.39910605693802,0.6251048242441755,0.0062309740796402885,0.004015165779736707,0.2332167857203272,0.01618551238221122,0.0,0.025296415999946475,PASS,False
5,1,5,10.824000000000005,10.824000000000005,9.489999999999998,0.598072617773127,0.01437712032174646,0.004779537031676662,0.31673010939623353,0.016534154138316604,0.01,,PASS,False
6,1,6,10.792000000000002,10.792000000000002,9.489999999999998,0.5767820143718438,0.014274266775405262,0.004176437407273581,0.9853095321405023,0.014769947425106178,0.01,0.0003496250001262524,PASS,False
7,1,7,10.643,10.643,9.489999999999998,0.562009582280254,0.013472523820768566,0.00435597555437961,0.0629937016703906,0.012736101309339443,0.01,,PASS,False
8,1,8,10.774000000000001,10.623000000000005,9.489999999999998,0.5456663196068661,0.012494575988938463,0.005023961380655861,0.4752250198384836,0.014566871740359089,0.01,0.000463208000155646,PASS,False
9,1,9,11.466999999999999,11.466999999999999,10.21,0.5342056069628427,0.003445498628114628,0.0034644287118492656,0.339387841571703,0.01207071660738479,0.01,,PASS,False
10,1,10,11.179000000000002,11.179000000000002,10.21,0.5407465670820528,0.0029619089089290567,0.005113777286364529,0.21305419024841554,0.011156934210534875,0.01,0.00047808299996177084,PASS,False
